title,tag,relevance
Goldfinger,007 (series),1.0
From Russia with Love,007,0.99975
Defending Your Life,ghosts/afterlife,0.99975
"World Is Not Enough, The",bond,0.9995
"Crouching Tiger, Hidden Dragon (Wo hu cang long)",wuxia,0.9995
Frenzy,hitchcock,0.9995
Thunderheart,native americans,0.9995
Never Say Never Again,bond,0.9995
Resident Evil: Apocalypse,video game adaptation,0.9995
"Flying Swords of Dragon Gate, The (Long men fei jia)",wuxia,0.9995
Ant-Man,superheroes,0.9995
Baseball,baseball,0.9995
Eden Log,dystopic future,0.99925
"Hudsucker Proxy, The",coen bros,0.99925
Spider-Man,superheroes,0.999
Casino Royale,007 (series),0.999
Clash of the Titans,mythology,0.999
Escape Plan,prison escape,0.999
Kill the Irishman,mafia,0.99875
Gods of Egypt,mythology,0.99875
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),kung fu,0.99875
Toy Story,computer animation,0.99875
Whatever It Takes,teen movie,0.99875
"Greatest Story Ever Told, The",biblical,0.9985
Blade Runner,distopia,0.9985
Jane Austen's Mafia!,spoof,0.9985
Doom,based on a video game,0.9985
Apollo 13: To the Edge and Back,astronauts,0.9985
Sound City,rock and roll,0.99825
Gravity,space,0.99825
