movieId,title,release_year,total_ratings,avg_rating,rating_stddev
318,"Shawshank Redemption, The",1994,1829,4.431,0.7635787010286477
858,"Godfather, The",1972,1190,4.394,0.8419223523249364
50,"Usual Suspects, The",1995,1033,4.272,0.771061806561063
5618,Spirited Away (Sen to Chihiro no kamikakushi),2001,510,4.245,0.8802155758208104
1221,"Godfather: Part II, The",1974,664,4.244,0.917794510016309
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,523,4.242,0.8207707849103264
527,Schindler's List,1993,1243,4.234,0.8855039835565538
2571,"Matrix, The",1999,1589,4.208,0.8811510430088557
2959,Fight Club,1999,1306,4.206,0.8901544039375022
1193,One Flew Over the Cuckoo's Nest,1975,683,4.206,0.8582425357362904
109487,Interstellar,2014,567,4.196,0.8647696656808088
58559,"Dark Knight, The",2008,986,4.187,0.8517901638624669
296,Pulp Fiction,1994,1539,4.175,0.9614248944478657
608,Fargo,1996,955,4.175,0.8083498524854831
593,"Silence of the Lambs, The",1991,1520,4.167,0.8717919480904511
4226,Memento,2000,835,4.163,0.8160185127710899
1213,Goodfellas,1990,655,4.159,0.8322503876834974
2324,Life Is Beautiful (La Vita è bella),1997,501,4.154,0.9339867971900608
1136,Monty Python and the Holy Grail,1975,677,4.149,0.8849765593590893
1208,Apocalypse Now,1979,505,4.145,0.8109463469820197
