genreName,title,total_ratings,avg_rating
Documentary,Planet Earth,56,4.482
Crime,"Shawshank Redemption, The",1829,4.431
Drama,"Shawshank Redemption, The",1829,4.431
Comedy,Parasite,180,4.394
Romance,City Lights,63,4.294
Mystery,"Usual Suspects, The",1033,4.272
Thriller,"Usual Suspects, The",1033,4.272
Film-Noir,Double Indemnity,100,4.25
Adventure,Spirited Away (Sen to Chihiro no kamikakushi),510,4.245
Animation,Spirited Away (Sen to Chihiro no kamikakushi),510,4.245
Fantasy,Spirited Away (Sen to Chihiro no kamikakushi),510,4.245
War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,523,4.242
Action,Spider-Man: Into the Spider-Verse,167,4.228
Sci-Fi,Spider-Man: Into the Spider-Verse,167,4.228
IMAX,Interstellar,567,4.196
Horror,"Silence of the Lambs, The",1520,4.167
Musical,Singin' in the Rain,225,4.144
Children,My Neighbor Totoro (Tonari no Totoro),190,4.142
Western,Little Big Man,60,4.133
(no genres listed),Hereditary,76,3.862
